TIME (s) 	MONO:A	DIMERS W:A	
0.136045	0	0	
0.136502	0	0	
0.136959	0	0	
0.137415	0	0	
0.137872	0	0	
0.138328	0	0	
0.138785	0	0	
0.139241	0	0	
0.139698	0	0	
0.140154	0	0	
0.140611	0	0	
0.141067	0	0	
0.141524	0	0	
0.14198	0	0	
0.142437	0	0	
0.142893	0	0	
0.14335	0	0	
0.143806	0	0	
0.144263	0	0	
0.14472	0	0	
0.145176	0	0	
0.145633	0	0	
0.146089	0	0	
0.146546	0	0	
0.147002	0	0	
0.147459	0	0	
0.147915	0	0	
0.148372	0	0	
0.148828	0	0	
0.149285	0	0	
0.149741	0	0	
0.150198	0	0	
0.150654	0	0	
0.151111	0	0	
0.151567	0	0	
0.152024	0	0	
0.152481	0	0	
0.152937	0	0	
0.153394	0	0	
0.15385	0	0	
0.154307	0	0	
0.154763	0	0	
0.15522	0	0	
0.155676	0	0	
0.156133	0	0	
0.156589	0	0	
0.157046	0	0	
0.157502	0	0	
0.157959	0	0	
0.158415	0	0	
0.158872	0	0	
0.159328	0	0	
0.159785	0	0	
0.160241	0	0	
0.160698	0	0	
0.161155	0	0	
0.161611	0	0	
0.162068	0	0	
0.162524	0	0	
0.162981	0	0	
0.163437	0	0	
0.163894	0	0	
0.16435	0	0	
0.164807	0	0	
0.165263	0	0	
0.16572	0	0	
0.166176	0	0	
0.166633	0	0	
0.167089	0	0	
0.167546	0	0	
0.168002	0	0	
0.168459	0	0	
0.168916	0	0	
0.169372	0	0	
0.169829	0	0	
0.170285	0	0	
0.170742	0	0	
0.171198	0	0	
0.171655	0	0	
0.172111	0	0	
0.172568	0	0	
0.173024	0	0	
0.173481	0	0	
0.173937	0	0	
0.174394	0	0	
0.17485	0	0	
0.175307	0	0	
0.175763	0	0	
0.17622	0	0	
0.176677	0	0	
0.177133	0	0	
0.17759	0	0	
0.178046	0	0	
0.178503	0	0	
0.178959	0	0	
0.179416	0	0	
0.179872	0	0	
0.180329	0	0	
0.180785	0	0	
0.181242	0	0	
0.181698	0	0	
0.182155	0	0	
0.182611	0	0	
0.183068	0	0	
0.183524	0	0	
0.183981	0	0	
0.184437	0	0	
0.184894	0	0	
0.185351	0	0	
0.185807	0	0	
0.186264	0	0	
0.18672	0	0	
0.187177	0	0	
0.187633	0	0	
0.18809	0	0	
0.188546	0	0	
0.189003	0	0	
0.189459	0	0	
0.189916	0	0	
0.190372	0	0	
0.190829	0	0	
0.191285	0	0	
0.191742	0	0	
0.192198	0	0	
0.192655	0	0	
0.193112	0	0	
0.193568	0	0	
0.194025	0	0	
0.194481	0	0	
0.194938	0	0	
0.195394	0	0	
0.195851	0	0	
0.196307	0	0	
0.196764	0	0	
0.19722	0	0	
0.197677	0	0	
0.198133	0	0	
0.19859	0	0	
0.199046	0	0	
0.199503	0	0	
0.199959	0	0	
0.200416	0	0	
0.200873	0	0	
0.201329	0	0	
0.201786	0	0	
0.202242	0	0	
0.202699	0	0	
0.203155	0	0	
0.203612	0	0	
0.204068	0	0	
0.204525	0	0	
0.204981	0	0	
0.205438	0	0	
0.205894	0	0	
0.206351	0	0	
0.206807	0	0	
0.207264	0	0	
0.20772	0	0	
0.208177	0	0	
0.208634	0	0	
0.20909	0	0	
0.209547	0	0	
0.210003	0	0	
0.21046	0	0	
0.210916	0	0	
0.211373	0	0	
0.211829	0	0	
0.212286	0	0	
0.212742	0	0	
0.213199	0	0	
0.213655	0	0	
0.214112	0	0	
0.214568	0	0	
0.215025	0	0	
0.215481	0	0	
0.215938	0	0	
0.216394	0	0	
0.216851	0	0	
0.217308	0	0	
0.217764	0	0	
0.218221	0	0	
0.218677	0	0	
0.219134	0	0	
0.21959	0	0	
0.220047	0	0	
0.220503	0	0	
0.22096	0	0	
0.221416	0	0	
0.221873	0	0	
0.222329	0	0	
0.222786	0	0	
0.223242	0	0	
0.223699	0	0	
0.224155	0	0	
0.224612	0	0	
0.225069	0	0	
0.225525	0	0	
0.225982	0	0	
0.226438	0	0	
0.226895	0	0	
0.227351	0	0	
0.227808	0	0	
0.228264	0	0	
